,work_type,File_name,page_number,Type,Find_word,old_text,new_text,Text_value
0,Collect,Day1-3 Training Leadership Guide.pptx,page 1,table,,,,사용한 폰트
1,Collect,Day1-3 Training Leadership Guide.pptx,page 1,table,,,,사용한 색상
2,Collect,Day1-3 Training Leadership Guide.pptx,page 1,table,,,,배달의민족 도현
3,Collect,Day1-3 Training Leadership Guide.pptx,page 1,table,,,,
4,Collect,Day1-3 Training Leadership Guide.pptx,page 1,table,,,,
5,Collect,Day1-3 Training Leadership Guide.pptx,page 1,table,,,,
6,Collect,Day1-3 Training Leadership Guide.pptx,page 1,table,,,,나눔스퀘어
7,Collect,Day1-3 Training Leadership Guide.pptx,page 1,table,,,,
8,Collect,Day1-3 Training Leadership Guide.pptx,page 1,table,,,,
9,Collect,Day1-3 Training Leadership Guide.pptx,page 1,table,,,,
10,Collect,Day1-3 Training Leadership Guide.pptx,page 1,shape,,,,
11,Collect,Day1-3 Training Leadership Guide.pptx,page 1,shape,,,,
12,Collect,Day1-3 Training Leadership Guide.pptx,page 1,shape,,,,
13,Collect,Day1-3 Training Leadership Guide.pptx,page 1,shape,,,,
14,Collect,Day1-3 Training Leadership Guide.pptx,page 2,shape,,,,강사 리더십 프로그램 
15,Collect,Day1-3 Training Leadership Guide.pptx,page 2,shape,,,,Lv1 관계 형성하기
16,Collect,Day1-3 Training Leadership Guide.pptx,page 2,shape,,,,INSTRUCTOR
17,Collect,Day1-3 Training Leadership Guide.pptx,page 2,shape,,,,EVALUATION
18,Collect,Day1-3 Training Leadership Guide.pptx,page 2,shape,,,,FORM
19,Collect,Day1-3 Training Leadership Guide.pptx,page 2,table,,,,교육 중 카메라를 ON 해주시기 바랍니다. 
20,Collect,Day1-3 Training Leadership Guide.pptx,page 2,table,,,,COUPANG CS Learning & Development
21,Collect,Day1-3 Training Leadership Guide.pptx,page 3,table,,,,01
22,Collect,Day1-3 Training Leadership Guide.pptx,page 3,table,,,,
23,Collect,Day1-3 Training Leadership Guide.pptx,page 3,table,,,,02
24,Collect,Day1-3 Training Leadership Guide.pptx,page 3,table,,,,
25,Collect,Day1-3 Training Leadership Guide.pptx,page 3,table,,,,03
26,Collect,Day1-3 Training Leadership Guide.pptx,page 3,table,,,,쿠쿠팡팡 고객 정의하기
27,Collect,Day1-3 Training Leadership Guide.pptx,page 3,table,,,,
28,Collect,Day1-3 Training Leadership Guide.pptx,page 3,table,,,,쿠쿠팡팡 교육 환경 정의하기
29,Collect,Day1-3 Training Leadership Guide.pptx,page 3,table,,,,
30,Collect,Day1-3 Training Leadership Guide.pptx,page 3,table,,,,좋은 관계를 만드는 리더십
31,Collect,Day1-3 Training Leadership Guide.pptx,page 3,shape,,,,Contetns
32,Collect,Day1-3 Training Leadership Guide.pptx,page 4,shape,,,,Purpose
33,Collect,Day1-3 Training Leadership Guide.pptx,page 4,table,,,,Rapport의 정의와 중요성을 이해한다.
34,Collect,Day1-3 Training Leadership Guide.pptx,page 4,table,,,,강의 진행 전 Rapport를 형성하여 교육 친밀도를 높일 수 있다.
35,Collect,Day1-3 Training Leadership Guide.pptx,page 5,shape,,,,01
36,Collect,Day1-3 Training Leadership Guide.pptx,page 5,shape,,,,쿠쿠팡팡 강사의 역할
37,Collect,Day1-3 Training Leadership Guide.pptx,page 6,shape,,,,01-1
38,Collect,Day1-3 Training Leadership Guide.pptx,page 6,shape,,,,쿠쿠팡팡 강사의 자기 평가
39,Collect,Day1-3 Training Leadership Guide.pptx,page 7,shape,,,,심각한 오류는 잘못된 답 때문에 생기는 것이 아니다.
40,Collect,Day1-3 Training Leadership Guide.pptx,page 7,shape,,,,정말 위험한 것은 잘못된 질문을 던지는 것이다.
41,Collect,Day1-3 Training Leadership Guide.pptx,page 7,shape,,,,- Peter Ferdinand Drucker
42,Collect,Day1-3 Training Leadership Guide.pptx,page 7,table,,,,01. 쿠쿠팡팡 강사의 역할
43,Collect,Day1-3 Training Leadership Guide.pptx,page 8,table,,,,01. 쿠쿠팡팡 강사의 역할
44,Collect,Day1-3 Training Leadership Guide.pptx,page 8,shape,,,,쿠쿠팡팡의 사업은 무엇입니까?
45,Collect,Day1-3 Training Leadership Guide.pptx,page 8,shape,,,,쿠쿠팡팡의 고객은 누구입니까?
46,Collect,Day1-3 Training Leadership Guide.pptx,page 8,shape,,,,쿠쿠팡팡의 고객이 가치있게 여기는 것들은 무엇입니까?
47,Collect,Day1-3 Training Leadership Guide.pptx,page 8,shape,,,,쿠쿠팡팡이 만들어야하는 결과는 무엇입니까?
48,Collect,Day1-3 Training Leadership Guide.pptx,page 8,shape,,,,쿠쿠팡팡은 무엇으로 기억되기를 원합니까?
49,Collect,Day1-3 Training Leadership Guide.pptx,page 8,shape,,,,피터 드러커의 5가지 경영원칙 #1
50,Collect,Day1-3 Training Leadership Guide.pptx,page 9,shape,,,,피터 드러커의 5가지 경영원칙 
51,Collect,Day1-3 Training Leadership Guide.pptx,page 9,shape,,,,쿠쿠팡팡 강사의 사업은 무엇입니까?
52,Collect,Day1-3 Training Leadership Guide.pptx,page 9,shape,,,,쿠쿠팡팡 강사의 고객은 누구입니까?
53,Collect,Day1-3 Training Leadership Guide.pptx,page 9,shape,,,,쿠쿠팡팡 강사의 고객이 가치있게 여기는 것들은 무엇입니까?
54,Collect,Day1-3 Training Leadership Guide.pptx,page 9,shape,,,,쿠쿠팡팡 강사가 만들어야하는 결과는 무엇입니까?
55,Collect,Day1-3 Training Leadership Guide.pptx,page 9,shape,,,,쿠쿠팡팡 강사는 무엇으로 기억되기를 원합니까?
56,Collect,Day1-3 Training Leadership Guide.pptx,page 9,shape,,,,피터 드러커의 5가지 경영원칙 #2
57,Collect,Day1-3 Training Leadership Guide.pptx,page 9,shape,,,,실습
58,Collect,Day1-3 Training Leadership Guide.pptx,page 9,shape,,,,3~4명을 한팀으로 조직합니다.
59,Collect,Day1-3 Training Leadership Guide.pptx,page 9,shape,,,,"각 팀별로 소규모 회의실에 모여 토론을 하고, 3~5분간 질문들에 대한 답변을 작성합니다."
60,Collect,Day1-3 Training Leadership Guide.pptx,page 9,shape,,,,전체 회의실에 모여 각 질문에 대한 답을 공유합니다.
61,Collect,Day1-3 Training Leadership Guide.pptx,page 9,table,,,,01. 쿠쿠팡팡 강사의 역할
62,Collect,Day1-3 Training Leadership Guide.pptx,page 10,shape,,,,01-2
63,Collect,Day1-3 Training Leadership Guide.pptx,page 10,shape,,,,고객 여정 지도
64,Collect,Day1-3 Training Leadership Guide.pptx,page 11,shape,,,,여행 계획표를 작성할 때 반드시 포함되어야 하는 사항들은 무엇입니까?
65,Collect,Day1-3 Training Leadership Guide.pptx,page 11,table,,,,01. 쿠쿠팡팡 강사의 역할
66,Collect,Day1-3 Training Leadership Guide.pptx,page 12,shape,,,,타사의 고객 여정 지도
67,Collect,Day1-3 Training Leadership Guide.pptx,page 12,table,,,,01. 쿠쿠팡팡 강사의 역할
68,Collect,Day1-3 Training Leadership Guide.pptx,page 13,table,,,,
69,Collect,Day1-3 Training Leadership Guide.pptx,page 13,table,,,,신입 교육
70,Collect,Day1-3 Training Leadership Guide.pptx,page 13,table,,,, OJT 교육
